gene	PLP_in_hotspot	BLB_in_hotspot	PLP_in_all	BLB_in_all	P-value	oddsratio
ALPL	70	7	109	39	6.293968420024998e-07	8.205128205128204
CDC42	5	1	7	4	0.24242424242424238	7.5
HMGCL	5	1	10	13	0.05153199203542469	12.0
PPT1	7	1	22	18	0.05374767480030633	7.933333333333334
BSND	5	1	8	24	0.0015140279322704228	38.333333333333336
RPE65	16	1	67	16	0.17230399306211194	4.705882352941177
ACADM	28	1	64	15	0.007144454826409463	10.88888888888889
ABCA4	99	7	253	60	3.0373024725630593e-05	4.86734693877551
NRAS	6	1	11	13	0.02326468344774985	14.4
CTSK	10	0	19	2	0.4761904761904765	inf
GBA	9	0	43	4	0.5743335295601721	inf
MPZ	39	2	51	15	1.6582753735828138e-05	21.125
NPHS2	5	1	26	16	0.38045509290695323	3.5714285714285716
CRB1	10	2	88	25	1.0	1.4743589743589745
TGFB2	5	0	11	37	0.000269811902559359	inf
ACTA1	15	1	38	10	0.13221193853242363	5.869565217391305
MPV17	5	1	21	6	1.0	1.5625
SRD5A2	11	1	28	6	0.3891088137145851	3.235294117647059
SPAST	26	1	65	18	0.004693796416668801	11.333333333333334
DYSF	11	1	108	60	0.05764732830351452	6.690721649484536
PROC	6	1	24	12	0.3839025932953829	3.6666666666666665
SCN1A	82	11	253	129	7.378395677539739e-08	5.1440723019670385
ABCB11	5	0	44	46	0.024710491196349355	inf
AGXT	18	1	50	25	0.0020032334207932406	13.5
BTD	5	0	52	15	0.5795171867933058	inf
THRB	5	0	20	5	0.5440429136081313	inf
GLB1	22	2	47	18	0.009341834233591886	7.04
MLH1	6	1	290	352	0.05016592263151098	7.415492957746479
COL7A1	29	3	107	66	0.00010585595819678137	7.8076923076923075
GATA2	5	1	21	34	0.025737784228350238	10.3125
RHO	47	3	67	15	0.0007149410419855755	9.4
PCCB	10	1	36	15	0.14128234360304415	5.384615384615385
CLRN1	5	1	16	6	0.6341120180129467	2.272727272727273
OPA1	5	0	25	34	0.01061244578424438	inf
IDUA	21	3	65	43	0.0018939548594086564	6.363636363636363
SEPSECS	5	1	7	8	0.04055944055944058	17.5
PKD2	6	0	29	33	0.007727103972948528	inf
F11	6	0	34	16	0.15873712297129794	inf
ARSB	14	1	44	15	0.08472412053063481	6.533333333333333
SLC22A5	13	2	50	24	0.12155980230231675	3.864864864864865
SLC26A2	10	2	25	12	0.2628550286569001	3.3333333333333335
GABRB2	6	0	7	32	2.1455129814262956e-06	inf
TULP1	5	1	18	12	0.35753441960338533	4.230769230769231
GUCA1A	5	0	10	4	0.22077922077922058	inf
PRPH2	32	1	59	13	0.0021378536180891496	14.222222222222221
PPP2R5D	6	0	8	20	7.432181345224828e-05	inf
MMUT	30	1	86	21	0.006190593301947638	10.714285714285714
PKHD1	12	0	135	153	8.58128152722754e-05	inf
EYS	16	3	103	68	0.025782390013690523	3.9846743295019156
LCA5	11	0	15	5	0.008126934984520112	inf
BCKDHB	11	0	37	11	0.047775212718574045	inf
FBXL4	5	1	17	8	0.6237154150197634	2.9166666666666665
GJA1	6	1	7	9	0.008741258741258747	48.0
